COURSE PREFIX,COURSE NUMBER,NAME,CREDITS,DESCRIPTION,PREREQUISITE,RESTRICTION,FORMERLY NAMED,RECOMMENDED,CREDIT ONLY GRANTED FOR,REPEATABLE TO,CROSS-LISTED,COREQUISITE
AGST,AGST400,Advanced Crop Science,3,"Focuses on the study of the agronomic principles and practices required for the production of food, feed, fiber and fuel crops. This is a project-based course where students will develop a farm plan from knowledge gained in previous courses and built upon in this course. Students will learn to integrate data and information from many sources in order to build and operate a successful and sustainable agronomic farm operation using current and new technology. The use of farm management software will be an integral part of the course and farm project.","PLSC112, PLSC113, BSCI160, BSCI161, and MATH113 or higher",,,ANSC101,PLSC407 or AGST400,,,
AGST,AGST401,"Tractor and Equipment Operation, Safety and Maintenance",1,"Provides students with basic skills needed to safely operate and maintain farm equipment, such as tractors and implements used in agronomic production. Students will receive introductory background training in the basic safety and operation of tractors through hands-on learning. Emphasis will also be placed on the mechanical functioning of equipment and the functional similarities and differences between gasoline (two-stroke and four-stroke) and diesel engines as well as electric motors as they relate to farm equipment (mobile and stationary). This knowledge will be used to teach students to safely perform basic care and maintenance of different tractor types as well as various implements. Students will also learn basic implement connection and disconnection, including the safe use of implements that employ a power take-off unit. Included in the course will be an introduction to the equipment and use of satellite navigation systems used in agronomic production.",PLSC112 and PLSC113; MATH113 or higher MATH course; and must have completed or be concurrently enrolled in AGST400,Must be in the Agricultural Science and Technology major (01010) with priority given to Agronomy students (0101A); and must have earned a minimum of 60 credits; and permission of the Department of Plant Sciences and Landscape Architecture,,,,,,
AMSC,AMSC420,Mathematical Modeling,3,"The course will develop skills in data-driven mathematical modeling through individual and group projects. Emphasis will be placed on both analytical and computational methods, and on effective oral and written presentation of results.","1 course with a minimum grade of C- from (MATH240, MATH461, MATH341); and 1 course with a minimum grade of C- from (MATH241, MATH340); and 1 course with a minimum grade of C- from (MATH246, MATH341); and 1 course with a minimum grade of C- from (STAT400, STAT410); and 1 course with a minimum grade C- from (CMSC106, CMSC131).",,,,AMSC420 or MATH420,,: MATH420,
AMSC,AMSC452,Introduction to Dynamics and Chaos,3,"An introduction to mathematical dynamics and chaos. Orbits, bifurcations, Cantor sets and horseshoes, symbolic dynamics, fractal dimension, notions of stability, flows and chaos. Includes motivation and historical perspectives, as well as examples of fundamental maps studied in dynamics and applications of dynamics.",MATH341; or MATH246 and one of (MATH240 or MATH461).,,,,AMSC452 or MATH452,,: MATH452,
AMSC,AMSC460,Computational Methods,3,"Basic computational methods for interpolation, least squares, approximation, numerical quadrature, numerical solution of polynomial and transcendental equations, systems of linear equations and initial value problems for ordinary differential equations. Emphasis on methods and their computational properties rather than their analytic aspects. Intended primarily for students in the physical and engineering sciences.","1 course with a minimum grade of C- from (MATH240, MATH341, MATH461); and 1 course with a minimum grade of C- from (MATH241, MATH340); and 1 course with a minimum grade of C- from (CMSC106, CMSC131); and minimum grade of C- in MATH246.",,,,"AMSC460, AMSC466, CMSC460, or CMSC466",,: CMSC460,
AMSC,AMSC466,Introduction to Numerical Analysis I,3,"Floating point computations, direct methods for linear systems, interpolation, solution of nonlinear equations.","1 course with a minimum grade of C- from (MATH240, MATH341, MATH461); and 1 course with a minimum grade of C- from (MATH241, MATH340); and 1 course with a minimum grade of C- from (CMSC106, CMSC131); and minimum grade of C- in MATH410.",,,,"AMSC460, CMSC460, AMSC466, or CMSC466",,: CMSC466,
AMSC,AMSC498,Selected Topics in Applied Mathematics,1-3,Topics in applied mathematics of special interest to advanced undergraduate students.,,,,,,6 credits if content differs,,
AMST,AMST101,Introduction American Studies,3,"Introduces students to the interdisciplinary field of American Studies by examining concepts such as culture, identity, cultural practices, and globalization, as well as theories underlying these concepts. Engages key themes, especially constructions of difference and identity, cultures of everyday life, and America and the world.",,,,,AMST101 or AMST201,,,
AMST,AMST189C,Martin Luther King Jr.,3,"Examines the life and work of Martin Luther King, Jr. We immediately rethink the image of King who liberals and conservatives construct as a dreamer of better race relations. We engage the complexities of an individual, who articulated a moral compass of the nation, to explore racial justice in post-World War II America. This course gives special attention to King's post-1965 radicalism when he called for a reordering of American society, an end to the war in Vietnam, and supported sanitation workers striking for better wages and working conditions. Topics include King's notion of the ""beloved community"", the Social Gospel, liberalism, ""socially conscious democracy"", militancy, the politics of martyrdom, poverty and racial justice, and compensatory treatment. Primary sources form the core of our readings.Cross-listed with: HIST108C, AASP298M.",,,,,"HIST108C, AASP298M, or AMST189C",,,
AMST,AMST202,Cultures of Everyday Life in America,3,"Examine the structures and patterns of everyday life in the U.S., utilizing methods such as ethnography, oral history, survey research, and textual, visual, and material cultural analysis.",,,,,,,,
AMST,AMST203,Popular Culture in America,3,"An introduction to American popular culture, its historical development, and its role as a reflection of and influence on our culture and society.",,,,,,,,
AMST,AMST204,Film and American Culture Studies,3,"Exploration of the American film from a historical perspective, illustrating the motion picture's role as an institutional phenomenon, as a form of communication, and as a source of cross-cultural study.",,,,,,,,
AMST,AMST205,Material Aspects of American Life,3,"Historical survey of American material culture. Ways of describing and interpreting accumulated material evidence (e.g., buildings, town plans) introduced by stressing relationship between artifact and culture.",,,,,,,,
AMST,AMST210,Introduction to Ethnography,3,"A qualitative research method course used to study social worlds communities, cultures, institutions, and other social groups from the perspectives of the people who inhabit those social worlds. Ethnographic research involves understanding cultural traditions from an insider's perspective by studying the everyday lives of people steeped in those traditions.",,,,,,,,
AMST,AMST212,Diversity in American Culture,3,"Exploration of the role of diversity in the shaping of American culture. Special emphasis will be placed on the multicultural origins of American popular and material culture, such as foodways and entertainment, and on the experience of ""Americanization.""",,,,,,,,
AMST,AMST213,Heroes and Villains in American Film,3,"We will examine the complex, changing, and ever-present representations of heroes and villains in American film. Beginning with a foundational understanding of how heroes and, conversely, villains have been defined through classic Hollywood film, we will explore how these definitions have shifted throughout the 20th and 21st century in various narrative genres, including westerns, war films, film noir, fantasy, science fiction, and, of course, superhero movies. In particular, we will be focusing on how the hero and villain maintain or disrupt specific cultural ideologies concerning race/ethnicity, gender, sexuality, and ability. This course will examine how these various ideologies have evolved throughout the 20th and 21st century, impacting the ways in which heroes and villains are both represented in American film and perceived by diverse audiences. Finally, we will examine our own complicated and sometimes troubling identification with these heroes, even when they might stand in stark contrast to our cultural values and identities.Cross-listed with: CINE282.",,,,,"AMST213, HONR219F, CINE282 or FILM298V",,,
AMST,AMST250,Empire and Settler Colonialism,3,"Engages with the connections between settler colonialism and empire/imperialism and what their effects are on race, land, dispossession, and migration. The course will begin by grounding students in course key concepts including Settler Colonialism, Empire, Imperialism, Sovereignty, and Legality, situating these concepts in relation to space, place, and geography. The second half of the course will use these theoretical lenses to analyze the social conditions faced by BIPOC peoples. These topics will cover criminalization and police violence, Indigenous and women of color feminist and two spirit/queer experience, environmental racism, and state-based forms of racial documentation. The course will end with a discussion of decolonization and what it means in relation to settler colonialism and empire.",,,,,,,,
AMST,AMST260,American Culture in the Information Age,3,"Examines the ways in which content and form of public information interact with the culture, families & individuals.",,,,,AMST260 or AMST298I,,,
AMST,AMST262,"Houses, Schools, and Prisons in American Life",3,"This interdisciplinary course explores the role of property, discipline, and punishment in American life. By exploring the ideological underpinnings in property, discipline, and punishment and their manifestations in houses, schools, and prisons we will explore how these entities reflect American society and its values.",,,,,,,,
AMST,AMST269,Special Topics in Study Abroad II,1-6,Special topics course taken as part of an approved study abroad program.,,,,,,15 credits if content differs,,
AMST,AMST290,Shifting Sands: Constructing Cultural Mainstreams and Margins in the U.S.,3,"Examines the construction, operation, and meaning of cultural mainstreams and margins in a range of contexts, spaces, and times in the U.S. Using a variety of primary sources, research methods, and interdisciplinary scholarship, we will explore how Americans make and assign meaning to cultural mainstreams and margins. We will examine how and why cultural margins and mainstreams shift over time and what their consequences have been for social policies, laws, power relations, and national identity.",,,,,AMST289A or AMST290,,,
AMST,AMST298,Selected Topics in American Studies,3,Cultural study of a specific theme or issue involving artifacts and documents from both past and contemporary American experience.,,,,,,6 credits if content differs,,
AMST,AMST298Q,U.S. Latinx Literature and Culture,3,"Examines the poetry, prose, and theater of Latinx communities in the United States from their origins in the Spanish colonization of North America to their ongoing development in the 21st century. Considers how authors use literary form to gain insight into human experience, including mortality, religious belief, gender and sexuality, war and peace, family, language use, scientific inquiry, cultural tradition, ecology, and labor. Also studies how Latinx literary traditions have shaped and been shaped by broader currents in American literature, as well as what connections exist between Latinx literature and social and artistic developments in other parts of the world, particularly Latin America and the Caribbean. Authors may include Alvar Nunez Cabeza de Vaca, Eulalia Perez, Juan Nepomuceno Seguin, Maria Amparo Ruiz de Burton, Jose Marti, Arthur A. Schomburg, Jesus Colon, Julia de Burgos, Cesar Chavez, Ariel Dorfman, Gloria Anzaldua, Junot Diaz, and Cristina Garcia.Cross-listed with: ENGL235.",,,,,ENGL235 or AMST298Q,,,
AMST,AMST310,Introduction to Comparative Ethnic and Racial Studies,3,"Introduces students to the study of race and ethnicity in the United States. The class is organized according to the following five units: (1) Introduction; (2) Key concepts; (3) Mechanisms of racial formation; (4) Prevailing myths about race; and (5) Contemporary issues related to race and ethnicity. Through readings, film clips, and presentations, we will explore how the concept of race has developed and endured over time and become familiar with key concepts, such as ""race"" and ""intersectionality"". We will attempt to better understand how race is associated with other forms of difference, such as class, gender and ethnicity. We will identify and confront the prevailing myths about race and ethnicity in the United States. Finally, we examine the ways in which contemporary issues reveal the dynamics of race and ethnicity.Cross-listed with: AAST310.",,,,,"AMST310, AAST398F, AAST310, or AMST328L",,,
AMST,AMST312,Introduction to Native American and Indigenous Studies,3,"Key concepts and theories in Native American Studies beginning with an overview of the field and some of its foundational readings and history, then will move into an understanding of Native American identity and representation and a discussion of Indigenous sovereignty and self-determination. The course will outline past and present genocidal practices that seek to eliminate Native people and Indigenous responses to those structures such as the concept of survivance, Native feminisms, and theories of Indigenous resurgence. The course seeks to move students through an understanding of past and present structures affecting Native American people in the United States and Canada and move into readings that highlight Native articulations of present and future agency. While the focus of the course is Native peoples with the United States and Canada, understanding Indigenous histories and concepts always includes a hemispheric and transnational analysis.",,,,,"AMST328N, ANTH468F, RELS319N, or AMST312",,,
AMST,AMST315,Religion in American Culture,3,"Introduces students to the world's major religious traditions and examines how American culture informs, and is informed by, the variety of religious beliefs and practices in the U.S. This course is primarily concerned with religion as a system of meaning. The focus of the course is not on the history of religion or on analysis of religious texts, but rather on the meaning of a religion to its believers.",,,,AMST101,AMST315 or AMST328R,,,
AMST,AMST320,(Dis)ability in American Film,3,"Explores the connection between film and disability through an analysis of independent and mainstream American films in various film genres. Specifically, we will consider how these film representations reflect and/or challenge the shifting social perspectives of disability over the 20th and 21st centuries. Beginning with the presentation of disability as theatrical spectacle in the traveling sideshow and early cinema, we will work our way through film history to develop an understanding of our society's complicated relationship with disability.",,,,,AMST320 or AMST328X,,,
AMST,AMST323,Filipino American History and Biography,3,"Focus is placed on Filipino American experiences with an emphasis on identity, community building and organizing to influence public policy We will cover pertinent events from the US and Philippine history in order to understand the impact of colonialism, migration, immigration and assimilation on Filipino Americans.Cross-listed with: AAST363.",,,,,"AAST363, AMST323, AAST398D, or AMST328J",,,
AMST,AMST324,Growing Up Asian American: The Asian Immigrant Family and the Second Generation,3,"An interdisciplinary course examines the experiences of children of Asian immigrants in the U.S., focusing on intergenerational dynamics in the Asian immigrant family, their intersections with race, gender, class, sexuality, and religion, and how these shape second-generation Asian American life. Topics include identity and personhood, the model minority myth and education, work and leisure, language and communication, filiality and disownment, mental health and suicide.Cross-listed with: AAST394, IMMR394.",,,,,"AAST394, AAST398E, AMST324, AMST328V, IMMR319G or IMMR394",,,
AMST,AMST328,Perspectives on Identity and Culture,3,"Analysis of the cultural aspect of identity formation and the role of individual or community identities in cultural production. Examination of cultural texts such as film, literature, fashion, artifacts, archival records, architecture, monuments, sports, and paintings.",,,,,,9 credits if content differs,,
AMST,AMST328W,Asian Americans in Film,3,"Explores how Asian Americans have historically been represented in the U.S. by Hollywood, and in turn, how independent and Hollywood Asian American filmmakers have represented themselves. It covers the history of racial, gendered, and sexualized representations of Asian Americans in Hollywood, as well as Asian American filmic responses within and outside Hollywood. It also introduces how four basic tools of film analysis mise-en-scene, cinematography, editing and sound work together to create meaning in moving images. It examines how these elements are put together in three different types of films by Asian American filmmakers: narrative, documentary, and experimental. How films function in society to circulate ideas that reproduce and challenge stereotypes about Asian Americans.Cross-listed with: AAST355.",,,,,"AAST355, AAST398L or AMST328W",,,
AMST,AMST340,"Introduction to History, Theories and Methods in American Studies",3,"Introduction to the process of interdisciplinary research, including research literatures, questions, first-hand sources and library and analytic methods in American Studies. Each student will craft a prospectus for original research.",Must have completed AMST201; and 2 courses in AMST,Must be in American Studies program; and sophomore standing or higher,,,,,,
AMST,AMST369,Special Topics in Study Abroad III,1-6,Special topics course taken as part of an approved study abroad program.,,,,,,15 credits if content differs,,
AMST,AMST386,Experiential Learning,3-6,,,Permission of ARHU-American Studies department; and junior standing or higher,,,,,,
AMST,AMST388,Honors Thesis,3-6,"Individual research, thesis and oral defense. The research project will be conducted under the supervision of a faculty member.",,Must be admitted to AMST honors program; and permission of ARHU-American Studies department; and senior standing,,,,6 credits if content differs,,
AMST,AMST398,Independent Studies,1-3,"Provides the student with the opportunity to pursue independent, interdisciplinary research and reading in specific areas of American culture studies.",,Permission of ARHU-American Studies department,,,,6 credits if content differs,,
AMST,AMST418,Cultural Themes in America,3,"Examination of structure and development of American culture through themes such as ""growing up American,"" ""culture and mental disorders,"" ""race,"" ""ethnicity,"" ""regionalism,"" ""landscape,"" and ""humor.""",,,,,,6 credits if content differs,,
AMST,AMST418N,Asian American Public Policy,3,"Using Asian Pacific Americans as a case study, this course will analyze the development of public policy in America. Each week, topics such as community development, voting rights, and the movement to redress the wartime internment of Japanese Americans will serve as backdrops for discussion. We will explore the policy-making roles of legislators, judges, local and national political leaders, journalists, writers, unions, social movements, and community organizations.Cross-listed with: AAST421.",,,,,"AAST421, AAST498M or AMST418N",,,
AMST,AMST428,American Cultural Eras,3,"Investigation of a decade, period, or generation as a case study in significant social change within an American context. Case studies include ""Antebellum America, 1840-1860"" and ""American culture in the Great Depression.""",,,,,,6 credits if content differs,,
AMST,AMST429,Perspectives on Popular Culture,3,"Topics in popular culture studies, including the examination of particular genres, themes, and issues.",,,,,,6 credits if content differs,,
AMST,AMST450,Seminar in American Studies,3,"Developments in theories and methods of American Studies scholarship, with emphasis upon interaction between the humanities and the social sciences in the process of cultural analysis and evaluation.",AMST201 and AMST340; and 1 course in AMST,Senior standing; and must be in American Studies program,,,,,,
AMST,AMST498,Special Topics in American Studies,3,Topics of special interest.,,,,,,9 credits if content differs,,
AMST,AMST498J,Asian American Politics,3,"Students will gain a greater understanding of 1) the role of Asian Americans in US politics, 2) the political attitudes and behaviors of Asian Americans and 3) how to conduct research on Asian American politics. Though the class will concentrate on Asian Americans, issues related to Asian American politics will be examined within the larger context of America's multicultural political landscape.Cross-listed with: AAST443, GVPT368C.",,,,,"AAST498T, AAST443, GVPT368C or AMST 498J",,,
AMST,AMST499,Independent Studies,1-3,"Provides the student with the opportunity to pursue independent, interdisciplinary research and reading in specific areas of American culture studies.",,Permission of ARHU-American Studies department; and must be in American Studies program,,,,6 credits if content differs,,
ANSC,ANSC101,Principles of Animal Science,3,"A comprehensive overview of the application of biology in the care and use of animals that live in close association with humans including food animals, companion animals, lab animals, zoo animals, etc. The role of science in modern food production using animals will be emphasized.",,,,,,,,
ANSC,ANSC103,Principles of Animal Science Laboratory,1,Laboratory focusing on the application of biology in the care and use of animals that live in close association with humans including livestock and companion animals. Labs will include live animals.,Must have completed or be concurrently enrolled in ANSC101,Must be in one of the following programs (Environmental Sci & Pol-Environment & Agriculture; Agricultural and Veterinary Medicine; Agricultural Science and Technology) ; or must be in a major within the AGNR-Animal & Avian Sciences department; or permission of department required for students in other College of AGNR programs,,,,,,
ANSC,ANSC105,Horse Care Practicum,1,"This practicum course provides the opportunity for students to be involved in the routine care of the horses housed at the Campus Farm including grooming, feeding, turnout, first aid, record-keeping, and cleaning. Practical skills are supplemented with self-paced online learning.",,Permission of the instructor,,,ANSC108 or ANSC105,,,
ANSC,ANSC115,Careers in the Animal Sciences,1,"Discussion of current employment opportunities in Animal Science, primarily by invited speakers. In addition, students will have the opportunity to prepare resumes and improve oral presentation skills while working with their peers.",ANSC101 and ANSC103,,,,,,,
ANSC,ANSC120,Introduction to Dairy Judging,2,"Students will establish an understanding of dairy cattle anatomy and importance in dairy production, while gaining the ability to evaluate dairy cattle for soundness and show-ring appeal. Additionally, the class aims to provide students with confidence in justifying decisions of evaluation and gain confidence in public speaking.",,,,,,,,
ANSC,ANSC121,Introduction to Livestock Judging,2,"Students will establish a working understanding of the structural anatomy of several livestock species- cattle, sheep, pigs, goats- and their individual importance in the Agricultural Industry, while gaining the ability to evaluate these species for soundness and show-ring appeal. Additionally, the class aims to provide students with confidence in justifying decisions of based on their evaluations and gain skills in public speaking. The course will include two weekend field trips to farms in order to practice judging skills.",,,,,,,,
ANSC,ANSC204,Anatomy of Domestic Animals,2,Covering the anatomy of major species of domestic animals. Utilizes a systemic approach to provide a general knowledge of both gross and microscopic mammalian structure. Comparative differences between the major domestic species are covered.,"ANSC101, ANSC103, BSCI170 and BSCI171",Must be in one of the following programs (Environmental Sci&Pol-Wildlife Resources & Cons; Animal Sciences: Animal Care & Management; Animal Sciences: Equine Studies; Animal Sciences: Laboratory Animal Care; Animal Sciences: Sciences/Preprofessional; Animal Sciences: Animal Biotechnology; Agricultural and Veterinary Medicine),,,ANSC211 or ANSC204 AND ANSC205,,,ANSC205
ANSC,ANSC205,Anatomy of Domestic Animals Laboratory,2,A regional approach is taken to study the gross anatomy of major domestic species in the laboratory portion of this course.,"ANSC101, ANSC103, BSCI170 and BSCI171",Must be in one of the following programs (Environmental Sci&Pol-Wildlife Resources & Cons; Animal Sciences: Animal Care & Management; Animal Sciences: Equine Studies; Animal Sciences: Laboratory Animal Care; Animal Sciences: Sciences/Preprofessional; Animal Sciences: Animal Biotechnology; Agricultural and Veterinary Medicine),,,ANSC211 or ANSC204 and ANSC205,,,ANSC204
ANSC,ANSC210,Veterinary Terminology,1,Students will learn terminology related to the clinical practice of small and large animal medicine including medical record terminology and a systems-based consideration of common practices and pathologies.,ANSC204 and ANSC205,,,,The course is offered on-line through a series of self-paced modules on ELMS.,,,
ANSC,ANSC212,Applied Animal Physiology,3,"The physiology of domesticated animals with emphasis on functions related to homeostasis, and the physiological adaptation to environmental influences.",ANSC211; or (ANSC204 and ANSC205); or students who have taken courses with comparable content may contact the department,,,,,,,
ANSC,ANSC214,Applied Animal Physiology Laboratory,1,Application of physiological laboratory techniques to domestic and lab animals.,Must have completed or be concurrently enrolled in ANSC212,,,,,,,
ANSC,ANSC220,Livestock Management,3,"Management of meat animals including beef, sheep, and swine. This course will emphasize obtaining optimal efficiency of production through the integration of leading edge breeding, feeding, management, and marketing practices.",ANSC101 and ANSC103,,,,,,,
ANSC,ANSC226,The Future of Animal Agriculture,3,"Offers students the opportunity to learn about the history of animal agriculture in the United States and envision what its future might be as it adapts to major challenges such as our growing global population, climate change, food injustice, antimicrobial and insecticide resistance, animal welfare concerns, and farmer distress. The course will examine technological & biotechnological, agroecological, and social innovations that address these issues while providing healthy, safe, nutritious food. Students are invited to learn about these issues and to create and propose their own solutions through weekly ""extend your learning"" opportunities and a course project in animal agricultural extension.",,,,,,,,
ANSC,ANSC227,Eating with Eyes Wide Open,3,"Students will investigate the tension that is created by trade-offs that, knowingly or not, are made by consumers relative to agricultural production methods and dietary choices. Course will inform students about their food supply so they can make informed decisions and practice intentional or informed eating.",,,,,,,,
ANSC,ANSC232,Horse Management,3,"An introductory course on the care, management, and use of horses. Major topics include the industry, breeds, conformation, feeding, health, reproduction, facilities and business.",ANSC101 and ANSC103,,,,ANSC232 or ANSC332,,,
ANSC,ANSC233,Equine Behavior,2,Both normal and anomalous behavior of horses will be covered. Emphasis will be given to techniques based on knowledge of behavior that are known to be safe and effective in handling horses.,"ANSC101, ANSC103, and ANSC232",,,,ANSC489B or ANSC233,,,
ANSC,ANSC235,Applied Small Ruminant Parturition,2,"Popularly known as ""Lamb Watch"", the course provides an immersion environment for learning and understanding pre- and post-natal care of ewes and lambs through direct, hands-on involvement in the birthing process and care of the neonate through weaning. Covered topics include zoonoses, basic reproductive physiology of the sheep, normal and abnormal delivery, management of lambs, qualitative assessment, breeding principles, etc.",Minimum grade of C- in ANSC101 and ANSC103,Must be in one of the following programs (Animal Sciences: Animal Care & Management; Animal Sciences: Equine Studies; Animal Sciences: Laboratory Animal Care; Animal Sciences: Sciences/Preprofessional; Animal Sciences: Animal Biotechnology; Agricultural and Veterinary Medicine),,,,,,
ANSC,ANSC237,Equine Reproductive Management,3,"Students learn the fundamental skills necessary to manage an equine breeding herd including anatomy/physiology of genital tracts, estrus detection, manipulation of the estrous cycle, semen collection, pre- and post-foaling techniques, infertility, and health and nutrition of the mare, foal and stallion. Students will be required to spend ~ 30 hours during the spring semester caring for broodmares and foals and attending at least one foaling and estrous detection checks on broodmares outside of regularly scheduled class time.",ANSC232,,,,ANSC237 or INAG233,,,
ANSC,ANSC242,Dairy Cattle Management,3,"All aspects of dairy production, including nutrition, reproduction, mastitis control, milking management, farmstead facilities, financial management and forage production.",ANSC101 and ANSC103,,,,,,,
ANSC,ANSC245,Sheep Management,3,"Popularly known as ""Lamb Watch"", this course provides an immersion environment for learning and understanding pre- and post-natal care of ewes and lambs through direct, hands-on involvement in the birthing process and care of the neonate through weaning on the campus farm. Course topics include zoonoses, basic reproductive physiology of the sheep, normal and abnormal parturition, management of lambs, qualitative assessment, breeding principles, nutrition, products and their marketing, and ram management.",Minimum grade of C- in ANSC101 and ANSC103,Must be in one of the following programs (Animal Sciences: Animal Care & Management; Animal Sciences: Equine Studies; Animal Sciences: Laboratory Animal Care; Animal Sciences: Sciences/Preprofessional; Animal Sciences: Animal Biotechnology; Agricultural and Veterinary Medicine),,,ANSC235 or ANSC245,,,
ANSC,ANSC246,Beef Management,3,"Provides an interactive environment for learning and understanding all areas of beef cattle management including hands-on involvement in the birthing process and care of newborn calves on the campus farm. Course topics will include: An introduction to Beef Production, Breeding and Selection, Reproduction, Nutrition, Cattle Health and Diseases, Cattle Behavior, facility design and management, and Careers working in the American Beef industry.",ANSC101 and ANSC103,,,,,,,
ANSC,ANSC250,Companion Animal Care and Management,3,"Care and management of the companion small animals. Species covered include the cat, dog, rodents, lagomorphs, reptiles, amphibians, birds and others as class interest and schedule dictate. Basic description, evolutionary development, breeding, nutritional and environmental requirements, and public health aspects will be presented for each species.",,,,,ANSC250 and ANSC305,,,
ANSC,ANSC252,Introduction to the Diseases of Wildlife,3,"The principal diseases of North American wildlife will be briefly considered. For each disease, specific attention will be given to the following: signs evidenced by the affected animal or bird, causative agent, means of transmission and effects of the disease on the population of the species involved.",BSCI105; or (BSCI170 and BSCI171); or permission of AGNR-Animal & Avian Sciences department; or students who have taken courses with comparable content may contact the department,,,,,,,
ANSC,ANSC255,Introduction to Aquaculture,3,Introduces the art and science of rearing aquatic animals and the essential principles of aquaculture. Students receive hands-on training in the methods required for successful husbandry and management of aquatic animals in their water environment.,ANSC101 and ANSC103; or must have completed an introductory biology course,,,,,,,
ANSC,ANSC260,Laboratory Animal Management,3,"A comprehensive course in care and management of laboratory animals. Topics covered include regulations governing the use of animals in research, laboratory animal facility design and management, animal research models, animal health management and husbandry, responsibilities of lab animal workers and career opportunities in the field. Hands-on labs focus on lab animal handling, husbandry and common techniques. Field trips are required, and you must attend a minimum number of field trips which will be held during lab time.",ANSC101 and ANSC103,,,,ANSC260 or ANSC413,,,
ANSC,ANSC262,Commercial Poultry Management,3,"Theory and science of rearing poultry and marketing poultry meat and eggs in the commercial sector. Includes current issues, organization of the industry, as well as fundamental biology of the domestic chicken. Students will help raise a flock of broiler chickens. Field trips to commercial poultry operations are required.",ANSC101 and ANSC103,,,,,,,
ANSC,ANSC270,Animal Enterprise Management,3,"General principles of enterprise organization, management, and operation as applicable to food, livestock, and companion animals. Enterprise planning and establishment, management of financial, human, and animal resources, and other related topics will be investigated.",ANSC101 and ANSC103; or permission of instructor,,,,ANSC270 or AREC306,,,
ANSC,ANSC275,Introduction to Veterinary Medical Science and Practice,3,"The fundamentals of clinical veterinary medical practice and the research that supports it. Topics presented will include the histology, gross anatomy and physiology of the musculoskeletal, cardiovascular, respiratory, reproductive, digestive, renal and neurological systems as they relate to the description of specific disease states taught in this course. Additionally, examples of diseases caused by pathologic disturbances to these systems will be discussed, as well as the basic principles of preventative health care, diagnostic testing and pharmacologic intervention. Significant attention will be given to research in veterinary science and the practice of evidence-based medicine. This course is intended for any student interested in veterinary medicine, animal physiology, or medical science.",BSCI105; or (BSCI170 and BSCI171),,,,,,,
ANSC,ANSC282,Grazing Animal Management,3,"For students interested in acquiring knowledge and skills in pasture management, grazing management of livestock (large and small ruminants, horses), and hay production. Fundamental information regarding best management practices for soils, plants, and grazing livestock will be covered",ANSC101 and ANSC103; or permission of instructor,,,,"ANSC110, ANSC282, or INAG116",,,
ANSC,ANSC314,Comparative Animal Nutrition,3,"The fundamental role and implications of dietary preference, gastrointestinal physiology and nutrients in animal nutrition. Biochemical roles of nutrients in metabolism, digestion, absorption and assimilation as it relates to various life processes.",ANSC101 and ANSC103; and (CHEM231 or PLSC275),,,,,,,
ANSC,ANSC315,Applied Animal Nutrition,3,"Elements of nutrition, source characteristics and adaptability of various feedstuffs to several classes of livestock. A study of the composition of feeds, nutrient requirements and computerized formulation of economic diets and rations for livestock.",ANSC314,,,,,,,
ANSC,ANSC327,Molecular and Quantitative Animal Genetics,3,"Classical, molecular, and population genetics with specific emphasis on animal systems will be covered. Also, disseminate information on molecular approaches for manipulating genetics at the whole animal level (transgenic and cloning). Other model organisms will be discussed to provide a conceptual framework.","ANSC101, CHEM131, and ANSC103. And BSCI105; or (BSCI170 and BSCI171)",,,,,,,
ANSC,ANSC330,Equine Science,3,"Scientific principles of horse behavior, anatomy, physiology, locomotion, nutrition, reproduction, growth, health and disease as applied to horses are emphasized.",ANSC232; or permission of instructor,,,ANSC212 and ANSC211,ANSC230 or ANSC330,,,
ANSC,ANSC340,Health Management of Animal Populations,3,"A study of common and emerging animal diseases and their prevention and control. The main focus will be on livestock and poultry diseases. However, zoonotic, wildlife, and laboratory animal diseases will also be discussed along with risk assessment, bioterrorism counter-measures, and animal welfare, especially as these topics interface or impact animals used in food production.","BSCI223; and (ANSC220, ANSC232, ANSC242, ANSC250, ANSC255, ANSC260, or ANSC262)",,,ANSC212,ANSC340 or ANSC412,,,
ANSC,ANSC359,Internship Experience in Animal and Avian Sciences,3-6,"Experiential learning is a key component in an animal science education. Through the internship program, you will have the opportunity to develop your expertise in a specific species and discipline within the animal science curriculum. You will arrange an on- or off-campus internship experience related to animal science. You will spend a specified number of hours at the internship site each week and attend biweekly classroom sessions where we will discuss how the study of animal science fits into your specific internship experience as well as understand how to achieve each of the course learning outcomes.","ANSC220, ANSC232, ANSC242, ANSC250, ANSC255, ANSC260, or ANSC262",Must be in a major within the AGNR-Animal & Avian Sciences department; and permission of instructor,,,,6 credits if content differs,,
ANSC,ANSC379,Animal Science Undergraduate Teaching Assistant Seminar,2,Seminar course for undergraduate teaching assistants within ANSC.,Permission of instructor,,,,,8 credits,,
ANSC,ANSC386,Experiential Learning,3-6,,Permission of AGNR-Animal & Avian Sciences department,Junior standing or higher,,,,,,
ANSC,ANSC388,Honors Thesis Research,3-6,Undergraduate honors thesis research conducted under the direction of an AGNR faculty member in partial fulfillment of the requirements of the College of AGNR Honors Program. The thesis will be defended to a faculty committee.,,Must be in the AGNR Honors program,,,,6 credits if content differs,,
ANSC,ANSC389,Experiential Learning,3-6,,Permission of AGNR-Animal & Avian Sciences department,Junior standing or higher,,,,6 credits if content differs,,
